text,source
지인분의 생일파티를 위해 예약해서 방문한 프랑스 요리 전문점... 코스1+크림파스타를 맛나게 먹고 왔어요... 콜키지가 가능한 곳이라 와인도 사가지고 가서 맛나게... 특별한날 분위기에 취해 맛난 음식을 먹기에 좋은곳이에요... 쥔장님이 코스나올때마다 친절하게 설명도 해 주시고... 프랑스에서 즐기는 듯한 행복한 시간이었습니다~^^,crawl
"이 근처 지날때마다 한번 와봐야지 했는데, 드디어 왔네요^^ 프랑스가정식이라뇨😍 너무 궁금했는데, 왜 이제야 왔는지ㅠ 일단 미리 예약하고 방문했구요! 와인콜키지도 가능해서 무알콜와인 한병 준비해갔답니다ㅎㅎ 3가지 단품메뉴 시켰는데, 샐러드 포함인지 몰랐는데 와 너무좋더라구요ㅎㅎ 음식먹기전 샐러드부터 먹구요! 음식들을 먹는데, 3가지 음식 다 맛있었어요!! 그중에서도 크림파스타ㄷㄷ 왜이리 맛있는 거죠?? 생면이라 다른건지, 면도 소스도 둘다 너무 맛있었어요👍😆 다음번엔 토마토파스타도 시켜야겠어요ㅎㅎ 공간도 너무 예뻐서 모임하기에도 좋구요! 데이트로도 좋을 듯해요💕 또 갈게요! 맛있게 잘먹었습니다😊",crawl
임신하고 프랑스음식이 먹고싶어서 방문했어요 ~^^ 음식하나하나 정말 정성가득 맛있고 가게도 예쁩니다 ♡ 다음에는 다른가족들도 모시고 가볼게요,crawl
"2회차 방문. 예약없이 단품메뉴 주문. 아기의자 있음. 첫 방문때는 브런치, 오늘은 렌틸콩 스프+블랑 파스타+루즈 피자. 프랑스 가정식도 생면 파스타도 렌틸콩 스프도 처음인데 소문대로 다 맛있음. 사장님께서 친절하시고, 인테리어가 아늑한 느낌이라 좋음. 애정이 가는 식당이라 오래오래 계셨으면 좋겠음.",crawl
리뷰를 안남길 수가 없어요. 부산 갈때마다 가능하면 꼭 들리는 집입니다. 달미꼬꼬시절부터 1년에 한번씩은 가는 저의 추억이 가득담긴 곳이에요. 쉐기욤으로 단장하고 두번째 방문이에요. 인테리어도 너무 편안한 분위기 입니다 가까운곳에 있으면 정말 자주가고 좋을텐데.. 무튼 아이랑 지인과 함께 방문해서 여러개 시켜서 나눠먹었어요. 메뉴 하나하나 정말 맛있어요. 가지라자냐는 저의 최애 메뉴 입니다. 가지 안먹는 우리 아이도 엄지척!! 했습니다. 사장님도 너무 친절하시고 좋은 분위기에 맛있는 음식 먹고왔어요. 저만 알고싶지만.. 맛있는건 함께 먹어야 더 맛있죠! 다음에 또 갈께요.,crawl
생일 기념으로 남자친구가 예약해줘서 맛본 프랑스 가정식 코스요리였습니다~ 프랑스를 너무 사랑하는 저에게 소중한 장소가 되었어요! 💓 왕왕 추천합니다!!,crawl
기념일에 가기 좋습니다.,crawl
분위기 내러 먹으러 가기 좋고 무엇보다 음식 맛이 좋아요!,crawl
사장님이 친절하시고 색다른 메뉴라 좋았어요 대체로 다 맛있고 친절한 설명이 곁들여져서 좋았어요. 그리고 공간이 아주 넓지는 않은데 방문 했을 때 손님이 많지 않아서 여유 있는 공간이라 좋았습니다 인테리어도 예쁘고 데이트하기 좋습니다 채끝이 약간 질겼어요 전체적으로는 좋습니다,crawl
음식이 맛있어요,crawl
갈때마다 음식이 맛나요,crawl
예약할때부터 사장님이 친절하셨고 비오는 점심에 방문했는데 운치있었어요~ 음식은 당연히 맛있었고 기분좋은 식사였습니다🙂,crawl
프랑스코스 요리를 먹었는데 다 맛있고 양도 적당하고 친절하시고 인테리어도 너무 아기자기하고 다 만족했습니다! 휘낭시에도 맛있었어요!,crawl
작년에 브런치 먹으러 갔다가 마음에 들어서 다음엔 코스 먹어 봐야겠다고 생각하고 미리 예약하고 방문했는데 코스도 너무 맛있어요~,crawl
특색있는 프랑스요리,crawl
맛있습니다.,crawl
분위기너무좋구 조용히식사할수있어요,crawl
인테리어도 분위기도 이쁘고 기분이 좋아지는 곳이에요~ 주말 오전에 브런치랑 피자 먹는데 맛있고 너무 행복한 식사시간이었네요^^,crawl
어머니와 프랑스가정식~ 덕분에 뜻갚은 시간이였습니다.,crawl
겉에서봤을때는 넘 고급스러워보여서 좀 부담스럽다 생각했는데 막상 가보니 분위기 넘 따뜻하고 여행온 기분이었어요:) 데이트할때도 커피한잔 하고플때도 추천하고싶어요:),crawl
저번에 먹은 휘낭시에가 넘 맛나서 오늘 근처 간 김에 사왔는데 너무 이쁜 포장~! 선물용으로 저번에 구매했는데 받는 분도 넘 좋아하시더라구요 글구 역시나 넘 맛있어요!!!♡ 오자마자 하나 바로 맛보고 아이오면 같이 먹으려고 아껴두고 있네요ㅎ 쉐기욤 디저트 넘 맛나요~!!^^,crawl
"새로 생긴 이~~쁜 가게가 있어 먹으러 간 곳~!! 프랑스 가정 코스 요리를 파는 곳인데 브런치 피자 음료 등 단품으로 따로 시킬 수 있음 프렌치브런치, 가지라쟈나, 블랑피자, 크림뷔릴레를 먹었는데 진짜 다 너무너무 맛있어서 다 먹어보는걸추천~!! 해외유학파 쉐프 언니도 넘 친절하시고 이름이 생소한 요리에 대해서는 설명도 잘해주셔서 꼭 다시 들르고 싶은 곳~^^♡",crawl
프랑스 가정식 맛볼 수 있어 좋아요. 분위기도 좋고 무엇보다 음식이 맛있어서 즐거운 식사하였네요😊,crawl
좋아요,crawl
굿,crawl
좋아요,crawl
