text,source
생일날 방문해서 후토마끼 케이크 받았어요🩵 배가 터지게 너무너무 잘 먹었습니다. 개인적으로 와사비를 잔뜩 올려먹은 저… 메뉴는 자꾸 생각 날 정도 맘에 들었습니다. 장어도 비린맛없이 좋고 관자를 어떻게 하신건지.. 부드러워서 관자가 아닌줄알앗네요😝,crawl
"지인 소개로 갔어요 음식만드는것도 직관하고 식재료에 대한 위트넘치는 설명도 들을수 있다고 해서 한달전에 예약하고 정면에서 직관할려고 10분 일찍 갔는데 이미 사람들이 거의 자리를 차지하고 있더라구요ㅜㅜ 자리를 안쪽으로 안내해주셔서 이자리밖에 없구나 싶어서 아쉬운 마음에 앉았어요 근데 잠시후 우리뒤에 들어온 20대커플은 정면쪽자리와 안쪽자리중 선택해라고 하더라구요 그러고 주변을 둘러보니 모두 2~30대로 보이는 분들밖에 없더라구요 참고로 저희는 40대예요 힝~~ 무슨이유에서 자리를 지정해주셨는지 모르지만 아쉬운 마음이 커요 셰프님 음식만드시는 등쪽만 보였어요ㅜㅜ 음식너무좋았고 분위기좋고, 친절하시고 모든면에 만족하지만 누구나 자리선택권 보장해주셨으면 좋겠어요",crawl
금욜 런치타임 예약하고 방문했어요. 2층으로 올라가 별관으로 갔다 다시 나와 본관 찾아 갔어요. 여기서도 방향치 인정😂 스시심타카이 많은 리뷰가 말해주듯 오감이 만족스런 시간이었어요. 어머님 모시고 갔는데 사장님의 재치있는 입담 덕분에 더 즐거웠습니다. 금정구 스시오마카세 가성비맛집으로 추천합니다~^^,crawl
"가격에 비해 양이 어마어마하게 많았어요. 대학 근처에 있어서인지 일식으로 배터지게 먹으라는 컨셉인듯 하지만, 저는 폭력적이라고까지 느껴지는 양에 곳곳에서 포기하는 소리가 들리는 스시 오마카세는 별로였어요. 좋은 사람과 맛을 음미하며 아쉬운듯 먹는게 더 좋더라구요",crawl
와이프와 휴가날 데이트차 들렀습니다 예약안하고 당일 방문할려고 했는데 예약이만석이라 이용못할줄 알았는데 노쇼덕분에 바로 방문했네요 사장님 유쾌하고 말주변 재밌어서 좋았고 모든 메뉴 맛있게 잘먹었습니다. 12월에 기회가 된다면 다시 방문해서 12월 포즈도 보고싶네요 가게 번창하세요,crawl
"❤️‍🔥부산대 스시오마카세 디너 스시심타카이 요약❤️‍🔥 1. 항상 가보고 싶던 곳인데 예약이 힘들어서 못 갔지만 운 좋게 회식으로 예약 성공해서 더 좋았음🤩 2. 7가지의 츠마미와 2종류의 국, 12가지의 스시에 디저트까지.. 웬만한 성인들 모두 배 터지는 거 각오하고 고무줄 바지 입고 가야 함🤤 3. 디너 8만 원인데 구성과 맛과 퀄리티가 15~20만 원짜리 하이엔드보다 만족도가 상당히 높았고 가성비도 좋았음😘 4. 재치 있는 셰프님들 덕에 더욱 즐거운 식사시간! 한 달에 한 번은 가고 싶은 곳..🫶",crawl
도쿄에서 미슐랭 1스타 받은 스시 오마카세와 비교해도 전혀 뒤쳐지지 않습니다👍 음식 하나하나가 예술인데 쉐프님들이 친절하셔서 어느 부분 하나 빠지지 않는 곳이에요☺️,crawl
"오랜만에 방문했는데 너무 맛있게 먹고 왔어용 사장님 입담 또한 즐거웠습니다! 건강하셔서 오래 오래 하셨으면 해요~ㅎㅎㅎㅎ * 아쉬웠던점은 특별한 음식을 먹는 곳인데, 가운데 자리에 앉았던 남자분 들어오자마자 향수 냄세가 진동을... 정말 최악이었습니다...ㅎㅎ;;;",crawl
배 터질뻔 했습니다 ㅜ 존맛탱,crawl
"앞으로 매년마다 가고 싶은 맛집이에요. 음식이 나오는 동안 넘 맛있게 잘먹었어요. 런치인데도 불구하고 디너처럼 구성이 넘 좋아서 디너도 먹어보고 싶은 맛입니다. 오마카세 평소에 좋아한다면, 여기 꼭 가보세요.",crawl
