text,source
"멜론쿠헨, 샤인머스켓 맛있네용~",crawl
매장이 넓고 인테리어도 예쁩니다. 음료도 빨리 나오구요. 주차장이 좀 좁네요,crawl
신매뉴 랜위치 샌드위치 맛있어요,crawl
맛나요 굿굿,crawl
조아욤 주차 편해오,crawl
주차하기도 편하고 스타벅스 돌콜브루는 언제나 맛있어요 :),crawl
좋아요좋아요,crawl
좋아요좋아요,crawl
좋아요좋아요,crawl
좋아요좋아요,crawl
메뉴가 다양하고 오전에 일찍 개점을 해서 이용하기 편리해요,crawl
친절해서 기분좋은 커피 사갑니다 ㅎㅎㅎ,crawl
좋아요,crawl
친절하고 깨끗한 환경 입니다 자주 갑니당,crawl
좋아요,crawl
아주아주 좋은 곳입니다 직워분이정말친절합니다 감사합니다,crawl
디티 하기는 참 조아요,crawl
굿,crawl
좋아요좋아요,crawl
좋아요좋아요,crawl
아주아주 좋은 곳입니다,crawl
오전이라 조용히 마시다갑니다,crawl
드라이브 삼아 지나가는길에 잠시 카페에 들렸어요😋😋 생크림 카스테라! 맛있었고! 커피도 맛있었어요ㅎㅎ 다음에 또 기회되면 들릴게요ㅎㅎ,crawl
맛있네요 베이글 샌드위치,crawl
스벅 맛있게 먹었습니다,crawl
굿,crawl
굿,crawl
카공족이많아서 불편하네요 그래도 주차가되니까 잘쉬다가 와요,crawl
블랙사파이어 맛있긴 한데 비쥬얼 1차쇼크 양에 2차쇼크 조각케이크인가 홀케이크인가 그래서 가격 3차쇼크,crawl
맛잇어요!,crawl
커피 주차하기편하고 커피 맛있고 친절해요,crawl
모닝세트 즐기기 좋네요,crawl
슈크림 라테 따수운거임,crawl
좋은사람들과 함께~~~,crawl
빵도 음료도 맛나요 스벅 직원들도 친절합니다👍,crawl
오랫만에 스벅서 베이글먹으니 맛있네요~,crawl
터널근처라 오며가며 봤는데 들어와보니 넘 좋네요 창밖이 탁 트이고 예뻐요 참 말차라떼 좋아해서 시켰고 시럽은 하나도 없이 먹었는데 제 스타일이예요♡ 카페라떼도 말해 뭐해요^^좋습니다,crawl
커피가 맛있어요.,crawl
(☞ﾟヮﾟ)☞☕️☜(ﾟヮﾟ☜),crawl
점심먹고 한번씩 들러는곳입니다 주차가 조금 불편해요,crawl
좋아요,crawl
빵맛나요,crawl
2층 넓고 좋아요^^,crawl
굿~~ 주차대수 많아서 좋네요,crawl
굿,crawl
커피는 역시 스벅입니다,crawl
올만세 스벅 금정 DT 점,crawl
승강기 케이크는 다채로운 맛이 어우러져서 맛나게 먹었어요🤗😍👍👍,crawl
"스타벅스 맞나요? 전시관인줄~ 고급지고 세련된 전시장 분위기의 매장. 벽면 이미지 하나하나 작품을 감상하는 느낌~ 다양한 스타일의 좌석과 테이블, 그들의 독특한 배치가 재미를 더해주는 스타벅스 금정점. 조용하고 여유롭게 상큼달달하고 시원한 망고 패션 티 즐겨보아요~",crawl
"자몽허니블랙티 아이스로 시럽 한스푼 빼고 주문하였습니다. 평소에 자허블은 역시 스벅이 최고라고 생각했는데 시럽 한스푼을 빼면 어떤 맛일까 궁금했는데요, 결과는 만족입니다.",crawl
기침때문에 오렌지주스 시켰는데!! 완전 꼬꼬마 ㅎㅎ 아기용?? 이네요 ㅎㅎ 블루베리 치즈 진하고 맛나요^^,crawl
굳,crawl
친절하고 넓어서 쾌적해요~파토크 없어서 베이글사먹었는데 잼도 따로 판매해서 밍밍하지않네요,crawl
굿,crawl
스타벅스,crawl
굿,crawl
굿,crawl
주차도 가능하고 편해요~ 좌석도 많고 좋습니당ㅎㅎ,crawl
유자밀크티 맛있어요!,crawl
커피 맛잇어용!,crawl
스벅 힐링,crawl
펌킨 스파이스 에스프레소 마셧어요~ 신제품이니 먹어봐야할듯!ㅋㅋ 호박맛은 아~~~~주살짝 느낄까말까.. 연한라떼맛같아요.. 주차장은 여전히 협소하네요,crawl
공부좌석도 많아서 좋아요,crawl
모닝커피 한 잔으로 더위 식힙니다¡@@@@,crawl
좋아요,crawl
직원분이 많이 친절하십니다,crawl
좋은사람들,crawl
굳,crawl
너무넓어서좋았어요 장애인주차도있어서 좋았구요!,crawl
그란데 사이즈 달라고 했는데.. 이게 그란데 맞나? 그런거 같기도 하고 아닌거 같기도 하고 ㅡㅡ:,crawl
친절하시네요ㅡ 감사히 잘 마시겠습니다.,crawl
굿,crawl
