text,source
메가박스에서 영화보기 전에~~,crawl
메가박스에 영화보러 가면서~~,crawl
<문화가 있는 날>에 영화보러 가면서~,crawl
메가박스에서 영화보기 전에 스벅~~,crawl
신메뉴 톨사이즈 휘핑 기본인데 바쁘셔서 그런가 빠졌네요ㅋㅋㅋㅋㅋㅋㅋ 시럽도 빠진듯.. 그래도 이렇게 먹으니까 덜 달아서 마시긴 좋아요,crawl
메가박스에 영화보러 가면서~,crawl
영화보기 전에 스벅에~,crawl
영화보기 전에 스벅~~,crawl
문화가 있는 날에 영화보러 가면서 스벅~,crawl
메가박스에서 영화보기 전에 스벅~,crawl
왕왕 친절하시고 🧡 푸드류도 많은편이에요. 위치도 역과 가깝고 정원처럼 약간 꾸며둬서 예뻐용,crawl
메가박스에서 영화보기 전에 스벅~,crawl
좋아요,crawl
"물류작업을 마치고 헌혈한 뒤 귀가할 때 좀 덥고 마침 시원하고 달달한 것이 마시고 싶어서 부산대역 3번 출구 앞의 스타벅스에서 딸기 라떼 그란데 크기로 주문했어요. 가격은 7,300원이었고요. 달달한 딸기의 향이 잘 묻어나오는 시원한 음료수였죠.",crawl
영화보기 전에~,crawl
영화 관람 후 배캠 들으러 스벅~,crawl
영화 <소주 전쟁> 관람 후 스벅에~,crawl
좋아요좋아요,crawl
좋아요좋아요,crawl
좋아요,crawl
쿨라임 맛있어요 💚,crawl
메가박스에서 영화보기 전에 스벅~,crawl
딸기요거트맛남,crawl
이벤트도 활용하면서 스벅~,crawl
메가박스애서 영화보기 전에~,crawl
6월10일 저녁21::05 배달주문. 최악이다.,crawl
프리퀀시 완성을 위해~,crawl
메가박스에서 영화보기 전에 스벅~~,crawl
파우치 가방 행사 좋아요,crawl
역앞이라 자주 들러요^^ 친절하고 음료 맛나요,crawl
메가박스에서 영화보기 전에 스벅~,crawl
기프트카드 사러 갔는데 친절하셨어요,crawl
좋아여,crawl
주말 오후라 사람 정말 많네요 ㅎㅎ 옆에 부부가 가정문제 상의하시는데 목소리가 하이톤이라 듣고 싶지 않은 내용까지 귀에 쏙쏙 ㅠ 너무 시끄러워 빨리 나가고 싶었네요..이어폰 가져올껄,crawl
메가박스에서 영화보기 전에 스벅에서 든든하고 맛있게~,crawl
아침은 조용해요,crawl
부산대 온 김에 스벅에도~~,crawl
올 때마다 좋은 스타벅스 부산대역점❤️ 파트너분들도 다들 친절하시구 건물 외부에 미니 정원이 잘 가꿔져 있어서 다른 지점들과는 다른 느낌이 있어요!☺️,crawl
4층까지 있네요!,crawl
잘 다녀왔어요 ~,crawl
좋아요좋아요,crawl
메가박스에서 영화보기 전에 스벅~,crawl
직원분들 친절하시고 빵 맛있어요,crawl
영화 관람 후 스벅에서 맛있게~,crawl
딸기요거트 맛있어,crawl
생크림 카스텔라 맛있어요,crawl
아침 아아😊 저녁에도 아아😊,crawl
모닝카페 좋아용,crawl
영화보고 점심을안먹어서 카스테라시켰는데 너무느끼해 ㅠ 다못먹은건안비밀 그리고 밀크티,crawl
잘먹었습니다😄,crawl
프리퀀시모으려고 매일가는듯ㅋ,crawl
부산대 박물관 전시 관람 후 지인들과 스벅^^,crawl
너무 맛있었어요 ~ 분위기도 좋고 친절하십니댜 💛,crawl
직원분들이 친절하세요 추천합니다,crawl
사람이 많아요 4층까지있고 대학가라 공부하는 분이 많은 분위기에요 역 근처라 접근성이 좋습니당,crawl
친절하세요,crawl
🩵(☞ﾟヮﾟ)☞🍰☜(ﾟヮﾟ☜)💕,crawl
영화 관람 후 배캠 들으러 스벅~,crawl
좋아요좋아요,crawl
좋아요좋아요,crawl
좋아요좋아요,crawl
좋아요좋아요,crawl
부산대쪽에 영화보러 와서 스벅~,crawl
2층에 앉았는데 공기가 안좋았어요 담배냄새도 나는것같구요 환풍기를 틀어주셨으면 좋겠습니다,crawl
좋아요좋아요,crawl
좋아요좋아요,crawl
메가박스에서 영화 <대가족> 보기 전에 스벅~,crawl
카공족이 많긴하지만 괜찮아요,crawl
메가박스에 영화보러 가면서~,crawl
메가박스에서 영화보기 전에~,crawl
3층까지 있어요~,crawl
선물하기 좋아요,crawl
추울 땐 유자민트티와 베이글~,crawl
항상이용합니다,crawl
메가박스에서 영화보기 전에 바로 옆 스벅~,crawl
필리치즈 브리오슈인가 정말 맛있어요,crawl
좋아요:),crawl
유자민트티 맛있어용 ㅎㅎ,crawl
메가박스에서 영화 관람하기 전에~,crawl
프리퀀시 증정품 받으러~,crawl
편해요,crawl
좋아요,crawl
대화하기 좋아요.,crawl
친절하세요,crawl
스벅아아는 늘 연하게 마셔요,crawl
스타벅스에는 갈때마다 느끼는거지만 커피마시면서 이야기를 할수가 없네요 여기도 마찬가지네요 공부하려면 스터디카페를 가던지하지 테이블 두개씩 잡고 앉아서 뭐하는 짓인지 모르겠네요,crawl
커피가 맛있다,crawl
좋아요좋아요,crawl
좋아요좋아요,crawl
맛잇어요,crawl
가 본 스타벅스 중에 직원분들이 가장 친절했어요.,crawl
민트티에 샷추가하니 깔끔한 맛 나네요~,crawl
맛남,crawl
망고패션티 JmT,crawl
리유저블백 또 삼ㅋ장바구니로,crawl
좋아요좋아요,crawl
좋아요좋아요,crawl
굳,crawl
굿,crawl
메가박스에서 영화보기 전에~,crawl
아늑하고 좋아요,crawl
