text,source
신전떡볶이 여기 진짜 대박이네요 튀김을 정말 잘 튀겨서 겉바속촉을 유지하는 곳 친절함과 현금내면 만원에 천원할인 또는 계란 두개 서비스 ~ 신전떡볶이 여기 맛집 인정!!! 잘 먹고 갑니다 1위 코믹연극 죽여주는이야기 추천 맛집~*,crawl
튀김이 좀 딱딱해서 아쉽 ㅜ 떡볶이 중간맛했다가 넘 매워가지구 순한맛시켜야겠움,crawl
점심시간이라 바쁜 건 이해하지만 카운터 앞에서 주문하려고 10분 넘게 기다림 손님을 신경 안 쓰는 건지 아무 반응도 안 해줌 겨우 주문하고 음식 나오기까지 약 4-50분 걸림 바쁜 시간대에 일을 너무 느긋하게 하시는 듯 했음 알바생분이 긴 머리를 묶지도 않고 모자도 대충 쓰고 있었음 컵도 설거지가 제대로 안 되어 있었고 주방에서 택배 박스 까고 담배 냄새도 좀 났음 배달기사님들도 엄청 오랫동안 기다리시고 전체적으로 서비스가 매우 안 좋았음 그치만 맛은 진짜 맛있음 음식은 죄 없음 ^^,crawl
마감시간에 갔는데도 엄청 친절하세요,crawl
떡볶이 생각날때 들르는 곳. 맵찔이는 순한맛으로도 충분함. 쌀떡 있길래 쌀떡 주문했는데 식감이 생각한것만큼 쫄깃하지가 않아서ㅠㅠㅠㅠ 가래떡 갓 나온 쫄깃한 식감이면 좋을 거 같음.. 그 부분이 좀 많이 아쉬웠음!,crawl
귣,crawl
맛있어용 완전,crawl
입덧에 최고...,crawl
메뉴도 다양하고 직원들도 다들 친절해요,crawl
맛있게 매워요,crawl
떡볶이가 매콤하이 처 즤기네여,crawl
포장했어요,crawl
👍,crawl
오랫만에먹었는데 역시맛이굿,crawl
오랜만에 신전 땡겨서 퇴근하자마자 바로 달려갔습니다..!!! 떡볶이는 당연하고 닭껍질튀김 존맛탱,crawl
넘 맛있어용!!! 자주 시켜먹을께여,crawl
맛있어요.다음에도시켜먹을게요.,crawl
고구마 치즈볼이 아주아주 별로입니다😔,crawl
맛있어요ㅎ,crawl
굿굿,crawl
굿,crawl
