text,source
직원분들 너무 친절하시고 손이 빨라서 엄청 빠르게 받았어요! 잘 먹고 갑니댱 💭👐🏻💕,crawl
ㅋㅋ비엠티 진짜완전 최고요🩶🩶🩶🩶,crawl
음식도 빠르게 나오고 너무 맛있어요 :) 혼밥 하기 좋은 곳인 것 같아요 🫢,crawl
베지랑 에그(썹픽) 주문했어요~ 에그는 알바분이 넘 허술하게 싸주셔서 다 흘러내렸네요 ㅠ.먹는내내 국물흐르고 속재료 다빠지고...ㅠ,crawl
많이 바빠보이셨는데 빠르게 샌드위치 만드시고 주문 받아주셔서 감사합니다 :) 친절하게 맞아주셔서 기다리는 시간도 괜찮았어요! 샌드위치도 재료 가득가득 넣어주시고 너무 맛있었습니다 !,crawl
"스파이시이탈리안 샐러드로, 에그마요 추가했습니다 섭웨이 샐러드가 일반 샐러드가게보다 가성비 굿이라고 생각합니다",crawl
주차가되어서편리하고요 직원분께서 빵굽기라던지 설명잘해주셔서 감사했어요 써브웨이음식은맛있는데 메뉴 고르는게서툴러서 ㅎㅎㅎ 맛있습니다^^,crawl
결국 사진찍는것도 깜빡하고 껍데기만 남았네요~ㅋ,crawl
안창비프머쉬룸 썹픽으로 먹었는데 맛좋아요 든든하게 한끼 해결했습니다!,crawl
첨 주문하는거라 잘 몰랐는데 직원분이 친절히 설명해주셔서 맛있는 썹픽 주문했어요 ^^,crawl
굳굳,crawl
서브웨이 맛있어요. 야채도 있고 소스도 맛있네요,crawl
여느햄버거보다 서브웨이샌드위치 넘 맛나고 또 맛나요~,crawl
새로운 메뉴가 많아요.,crawl
굳,crawl
☺️,crawl
맛있어요,crawl
처음 먹어본다는 지인을 위한 샌드위치 구입,crawl
사브웨이 최고 신메뉴도 맛나요,crawl
이탈리안 비엠티는 언제나 먹어도 맛있어요. 점심시간 혼밥하기 좋아요,crawl
혼밥하기 좋아요~!,crawl
부산대 정문앞 써브웨이 로스트치킨~소스는 올리브오일 소금 후추 건강한 맛~👍,crawl
매장이 넘넘 추워서 여름에 오고싶다했네용 ! 오랜만에 먹으니 넘 맛있었어요 ❣️ 라즈베리치즈쿠키였나 첨 먹어봤는데 맛있더라구요 추천입니당😃,crawl
서브웨이 애호가 입니다 근데 여기는 스쿱에 정성껏 담아주지는 않고 그냥 스쿱에 가득담는것처럼 담아주네요 그래도 맛은 잇음,crawl
맛있음 회전빠름,crawl
포장 주문햇다가 매장에서 먹고가도 된데서 먹고가는데 미리 주문했어도 따뜻하고 맛있어요 빵도 바삭 야채도 신선하고 소스까지 듬뿍 주시니 넘 맛있네요~~~!!! 넘 친절히 응대해주시고 기분좋게 혼밥했습니다~ 주말에도 섭웨이 ~~~ 강추합니다,crawl
조아요,crawl
빵이 부드럽고 야채는 아삭하고 소스랑 조합이 좋아요 로스트치킨 허니오트에 레드와인식초 치폴레소스로 아보카도 추가!! 강추합니다,crawl
저렴,crawl
리뷰 이벤트 아님 잘 안쓰는데 너무 화가 나서 씁니다. 일요일 12반씀 방문했고 여자 두분 있으셨는데 하기 싫으면 일을 안하면 되는거 아닌가요??? 주문 잘못됬다고 좋게 이야기드리면 화내고 짜증내고 올리브 3조각 주시길래 조금만 더 주세요 하는데 한숨쉬고… 올리브 한주먹 던져넣는게 맞는 태도인가요??? 소스는 또 너무 많이 넣어서.. 일단 두분 다 일하시는 태도.. 진짜 할말이 너무 많지만..ㅜㅜ 알바 바꾸셔야 할거 같아요 여기 이제 안갈 듯…,crawl
그냥 보통,crawl
빵이 이렇게 찢어졌으면 주의해달라고 얘기를 해주시던지 아니면 교체를 해주시는게 맞는거 아닌가요? 이렇게 풀어헤쳐 먹을거면 샌드위치가 아니라 샐러드를 시켰겠죠,crawl
굿굿,crawl
맛있어요 ~~^^,crawl
죠아여,crawl
냠냠,crawl
사장님 직원교육 다시시키셔야할것 같습니다. 알바가 서비스 마인드가 없는게 아니라 개념이 없습니다. 주말오전 살집있는 여알바. 할말하않할게요,crawl
굿,crawl
굿,crawl
오랜만에 먹으니 맛있네요.,crawl
늘 북적북적 바빠요,crawl
굿,crawl
굿,crawl
굿굿,crawl
맛있아요!,crawl
굳,crawl
굳,crawl
채소도 많이 들었고 맛있어요~,crawl
친절해요,crawl
써브웨이 맛집,crawl
써브웨이 하면 야채 듬뿍 + 소스 조합으로 먹는데 물가가 올라서 일까요? 야채를 적게 담아주시고 소스는 또 많이 넣어 주더라고요? 만드는 사람 따라 편차가 심해서 너무 아쉽네요.,crawl
동백전 사용가능 ㅎㅎ,crawl
맛있습니다~,crawl
ㅎㅎ,crawl
맛잇옹,crawl
그냥 혼밥하고 싶을때 가끔와요! 친절하시고 좋습니다ㅎ,crawl
^^,crawl
맛있옹,crawl
맛있어요,crawl
신선하고 맛있는 샌드위치,crawl
오랜만에 맛있네요,crawl
맛나용,crawl
광고보고 랍스타 구매해서 먹어봤는데 기대이하ㅜ 비싼데 그만큼 값어치 못하는듯~~ 담에 그냥기본 사먹을래요,crawl
엄청 불친절하다,crawl
조오금만 더 신경써주셔서 만들어주시면 좋겠습니다. 야채가 빵안에 다 안 들어가있어서 종이가 너무 빨리 젖어요.. 그리고 소스도 너무 한쪽에만 ㅜ 바쁘신 것 알지만 같은 메뉴인데 점마다 맛이달라서요 그래도 잘 먹었습니다 !,crawl
굿,crawl
부산대 써브웨이 아들 샌드위치 사주고 왔어요~^^,crawl
서브웨이 엄청 자주가는데 이렇게 불친절한 직원은 처음 봅니다 서브웨이 단골으로써 상당히 불쾌하네요 살다살다 개밥 손님 취급은 처음 당해보네요 다신 이 지점 방문하고 싶지 않습니다,crawl
직원분이 넘맛있고 스파이시 쉬림프가 친절해용..섭웨 많이 버시고 신메뉴 많이 내주세용 특히 쉬림푸>♡<,crawl
고기도 많이 안 질기고 맛있어요,crawl
굳,crawl
샐러드에 렌치소스랑 같이 먹으니 더 맛있어요!,crawl
친절해요,crawl
햄버거보다 신선한 야채가 가득한 샌드위치가 땡길때!,crawl
건강한 육류와 채소들이 조합들이있어 맛있었어요,crawl
맛있어요,crawl
한끼식사로는 좋아요,crawl
소스 냥냥해서 좋아요,crawl
진짜 친절하고 맛있어요👍👍,crawl
굿,crawl
점심 밥으로 선택 재료가 신선하고 직원분께서 친절해서 좋아요,crawl
맛있어요~,crawl
맛나요,crawl
굿 매니저님 센스있게 도와주셔서 감사합니다,crawl
맛있어요,crawl
good,crawl
굿,crawl
너무 맛있어요 자주 사먹어뇨,crawl
신선하고 맛잇어용,crawl
굿,crawl
서브웨이 맛있는데 점점 비싸져서 슬프다,crawl
짱맛 존맛탱구리,crawl
다들 친절하시고 음식도 맛있어요!,crawl
알바생 친절해요♡,crawl
서브웨이 맛있지 모,crawl
굿,crawl
양말카도 세트 이벤트중이라 에그마요 세트 먹고 양말도 받았네요!! 맛있습니다~,crawl
신선한 야채와 함께 따뜻한 스프로 즐거움이 기득하네요,crawl
맛나게 잘 먹었ㅅ,crawl
먹고가기좋음,crawl
직원분 친절하세요!,crawl
특별한 건 없구 그냥 혼밥 하러 종종 가용 직원분들도 친절하세요,crawl
가볍게 먹기좋아요,crawl
간단하게 밥먹고 가기 좋은곳! 혼밥도 하기좋아요 집갈때 종종 포장합니다ㅎㅎ,crawl
굿,crawl
