text,source
🍰 초코바나나케이크 🍰 블루베리요거트케이크 ☕️ 필터커피 캄포 에르모소 카투라 허니 워터멜론 모스트 CO 퍼먼티드 광복절 휴일은 쏠트바에서~ 맛있는 초코바나나 케이크와 블루베리 요거트 케이크를 필터커피-워터멜론과 함께 먹었습니다^^ 쏠트바 케이크는 언제 먹어도 정말 부드럽고 맛있어요🥰 커피 뿐 아니라 다른 음료와도 잘 어울려서 맛있는 후식이 땡길때 늘 찾게되는 쏠트바 케이크랍니다ㅎㅎ 오늘도 맛나게 잘 먹었습니다~👍😊❤️🥐☕️,crawl
"☕️ 필터커피 캄포 에르모소 카투라 허니 패션후르츠 모스트 CO 퍼먼티드 🍰 블루베리요거트 케이크 🍪 오트밀 쿠키 일요일 밤은 쏠트바에서~🌙 향긋한 필터커피 패션후르츠 한 잔과 상큼한 블루베리요거트 케이크와 함께하는 여유를 즐겼습니다:) 블루베리요거트 케이크는 은은하면서도 상큼한 블루베리맛에 녹아내릴듯 부드러운 식감이 일품이에요~:) 아직 안 드셔보셨다면 꼭 드셔보세요~~^_^ +낮에는 쏠트바에서 카페라떼 아이스와 오트밀 쿠키를 테이크아웃 하여 먹었는데, 정말 시원하고 맛있었어요! (리뷰가 1일 1회라 같이 쓰는 부분입니다ㅎㅎ)",crawl
☕️ 콜롬비아 엘실렌시오 게이샤 워시드 🧃케모마일 릴렉서 🍌🍫 초코바나나케이크 쏠트바 새로운 케이크 중 첫째! 초코바나나 케이크 먹었습니다~~! 비주얼 최고! 맛도 최고!! 바나나 시트 정말 달콤푹신 바나나 그 자체! 초코 코팅 탁탁 깨서 같이 먹으니 환상적이에요! 늘 맛있게 마시는 엘실렌시오 필터커피와 케모마일 릴렉서와도 조합이 좋았습니다~^^ 꼭 드셔보세요~~~!!!,crawl
"☕️ 콜롬비아 엘실렌시오 게이샤 워시드 🍋 남해유자차 🍠 고구마케이크 쏠트바 신상케이크 중 고구마 케이크를 먹었습니다! 먹어 본 고구마케이크 중 단연 1등!!!! 유명한 고구마케이크들 많이 먹어봤지만, 이렇게 맛있는 고구마 케이크는 처음이었어요🥰 이가 잆어도 먹을 수 있을 부드러움과 리얼고구마맛 넘치는 최고의 고구마케이크에요~👍 쏠트바 필터커피 최애픽 엘실렌시오와, 수제청으로 우려낸 남해유자차까지.. 남김없이 싹싹! 정말 맛있는 시간이었어요~~^^",crawl
"🥐 명란감태소금빵 🧃 쏠트바 하이볼 🍌🍫 초코바나나케이크 오늘은 쏠트바 시그니쳐 명란감태 소금빵과 쏠트바 하이볼 조합을 즐겼습니다~ 언제 먹어도 너무나 맛있는 근본의 맛! 세계최초 쏠트바 명란감태소금빵의 짭쪼름 버터리한 맛과 상큼시원한 쏠트바 하이볼의 조합은 환상 그 자체였어요👍 후식(?)으로 먹은 초코바나나 케이크도 넘 맛나서, 받은지 5분도 안 되어 뱃속으로 사라졌답니다ㅎㅎ 오늘도 맛있게 먹었습니다~~^^🥰🥐🍌",crawl
"☕️ 콜롬비아 엘실렌시오 게이샤 워시드 🧃 블랙티(홍차) 🍠 고구마케이크 🥐 바질토마토치즈소금빵 퇴근 후 맛있는 필터커피와 고구마케이크를 먹으러 쏠트바에 들렸습니다~ 블루베리요거트 케이크를 먹을까 했는데, 케이크 싹 다 품절되고(인기 무엇..ㄷㄷ) 고구마케이크 하나만 남아있어서 운명(?)처럼 또 고구마케이크를 먹었습니다:) 물론 쏠트바 고구마케이크는 언제 먹어도 맛있기 때문에 오늘도 정~~~~말 맛있게 즐겼답니다^^ 향긋한 필터커피와 쏠트바 고구마케이크는 최고의 조합이에요! 하루의 피로가 싹 가시는 느낌입니다ㅎㅎ 바질토마토치즈 소금빵은 이름값 제대로 하는 풍부한 바질향과 토마토&치즈의 조화가 감탄이 절로 나왔어요👍 쏠트바 소금빵과 필터커피 그리고 케이크 꼭 즐겨보세요~~🥰",crawl
"☕️ 캄포 에르모소 카투라 허니 워터멜론 모스트 CO 퍼먼티드 ☕️ 냉침 밀크티 🍰 찰리 케이크 🥐 플레인 소금빵 즐거운 일요일은 쏠트바에서~~^~^ 향긋한 수박향 가득 필터커피 워터멜론, 깊고 부드러운 맛의 냉침 밀크티, 빵실빵실 버터리한 플레인 소금빵, 초코&화이트 달콤한 찰리케이크 까지! 더운 날씨에 시원달콤하게 정말 맛있게 먹었습니다~! 부산대 소금빵&필터커피 1등 쏠트바 꼭 드셔보세요~~~😊",crawl
☕️ 필터커피: 콜롬비아 엘 실렌시오 게이샤 워시드 🧃캐모마일 ICE 오늘은 점심 식사 후 맛있는 커피와 차를 마시러 쏠트바에 왔어요! 워터멜론을 마실까 잠시 고민했지만 엘실렌시오로 결정! 아이스로 마셔도 풍부한 향이 정말 향기로워요ㅎㅎ 캐모마일티는 얼음량 조절해서 조금만 받았어요~ 덜(?) 차게 드시고 싶으실땐 이렇게 드셔보셔도 좋을 것 같아요. 부산대 쏠트바에서 더운 여름을 시원하게 보내보세요~!!,crawl
☕️ 콜롬비아 엘실렌시오 게이샤 워시드 ☕️ 캐모마일 티 🥐 이거 부드러울듯 🥐 명란감태소금빵 쏠트바에서 행복한 생일을 보내습니다~🎉🎉 이거 부드러울듯과 명란감태 정말 맛있게 먹었어요~~❣️ 필터커피 콜롬비아 엘실렌시오 횐상적인 향미를 느낄 수 있었습니다ㅎㅎ 좋은 날 맛있는 필터커피와 소금빵과 마무리해서 행복합니다😊❤️ 늘 친절하신 사장님께도 항상 감사드려요~~^^🥰,crawl
"오늘도 쏠트바 힐링시간~ 따뜻한 남해유자차와 냉침 밀크티. 플레인 소금빵과 명란감태 소금빵을 먹었어요!! 상큼한 유자차와 부드러운 밀크티, 버터리향 가득 플레인 소금빵과 고소하며 짭쪼름한 명란감태 소금빵은 오늘도 정말맛있었어요!! 오늘은 컨디션상 커피를 못 마셨지만, 다음번엔 필터커피를 꼭 같이 먹어야겠어요ㅎㅎ",crawl
"부산대 간김에 소금빵 맛집이라고 해서 방문해 봤는데, 자리에 빵볼펜이 있어서 주인이 있는 줄 알았네요ㅋㅋㅋㅋ 메뉴판, 주문서, 볼펜 너무 귀여웠어요~ 😍 (다른 가게들의 터치식 메뉴판에 노출되어 있다가) 커피도 맛있고, 소금빵 종류도 다양했습니다~",crawl
⭐️⭐️⭐️⭐️⭐️ 별 5개보다 더더더더더 주고싶은 소금빵 맛집입니다. 오고싶다고 생각하다가 근처에 일이 생겨 방문하게 되었습니다. 플레인 소금빵은 바닥 바삭 속은 쫀쫀 위는 콰삭한 것이 아주 조화로운 삼중주였습니다. 앙버터 소금빵은 팥과 버터가 너무 맛있었습니다. 크림처럼 부드러운 팥과 산뜻한 뽀얀 버터와의 합이 예술이었습니다. 라떼와 아아도 너무 맛있어서 커피맛집이 맞음에 기뻤습니다. 다음에 방문한다면 다른 메뉴도 도전하고 싶습니다! 오래도록 맛있는 소금빵 만들어주세요^^,crawl
월화수목금금 후에 쏠트바에서 힐링시간을 가졌습니다~ 메론크림 넘 맛있는 쏠트 인 썸머🍈💚 신상 필터커피 콜롬비아 엘실렌시오 게이샤 워시드☕️ 상큼달콤 가을에이드까지~~🧃 오늘도 정말 맛있게 먹었습니다~~^^❤️🥰👍,crawl
쏠트바는 테이크 아웃도 포장을 예쁘게 해주세요! 집에 가져가서 먹어도 꿀맛 그 자체! 오븐이나 에어프라이어에 살짝 데워먹으면 최고의 간식&야식이 된답니다~👍🥰 🥐 핫도그 소금빵 🥐 명란 감태 소금빵 ☕️ 필터커피 에티오피아 시다모 GI 봄베와인 네추럴 🍪 둘세 쿠키 시간이 없거나 집에서 드시고 싶으실 때는 쏠트바 테이크 아웃 강력추천드려요~^^,crawl
"부산대 카페거리에서 찾은 아늑한 공간, 우드 톤 인테리어로 따뜻하고 편안하네요. 사장님이 직접 커피도 로스팅하고 핸드드립으로 하고 계셔서 매장안에 커피향도 좋았어요 네이버로 예약 수령한 소금빵 각각의 개성이 뚜렷해서 맛있어요 :) 특히 저는 명란감태 소금빵의 짭짤하고 고소한 맛이 제일 인상적이었답니다. 음료와 함께 작은 소금빵 과자?를 서비스로 주신 점도 세심한 배려 같았고, 전반적으로 만족스러운 방문이었어요!☺️",crawl
필터커피가 맛있어서 부산들릴때마다 갑니다 ㅎㅎ 오늘도 약속가기전 포장하러 들렸어요 사장님 친절하시고 다른곳에서 먹을수없는 커피맛이에요 ! 커피좋아하시는분들 꼭 방문해보시길..,crawl
☕️과테말라 SHB EP 라고 아티틀란 SC 16UP 5 DEF 🍋남해 유자차 🍰찰리케이크 주말을 맞아서 쏠트바에서 힐링~ 찰리케이크는 오늘도 정~~말 맛있었네요🤎🤎 필터커피솨 완전 찰떡궁합! 상큼따뜻한 남해유자차도 피로회복에 딱이랍니다ㅎㅎ 쏠트바 최고에요~^^!,crawl
고구마케이크 무조건 드세요.. 진짜 존마탱... 조만간 줄서서 먹을거같아요.. 늦기전에 빨리 드세요!!!! 소금빵도 맛있고 커피도 최고입니다... 분위기도 넘좋아 맨날 갈께요 사장님🩷,crawl
오늘 오랜만에 방문한 쏠트바~여전히 맛있는 커피와 디저트. 커피와 소금빵에 아이스크림 올라간 디저트를 먹었는데 디저트를 순삭하는 바람에 사진이 없네요..ㅠ 암튼 분위기 너무 좋아요. 따뜻한 아메리카노와 여름에이드는 테이크아웃으로^^,crawl
☕️ 에티오피아 시다모 GI 봄베 와인 내추릘 🧃가을에이드(망고+패션후르츠) 🥐🍈 쏠트 인 썸머 맛있는 메론크림 가득 쏠트 인 썸머와 맛난 필터커피&상큼한 에이드로 하루의 힐링을 했어요^^ 폭신 부드러운 메론소금빵과 쏠트바 필터커피의 조합은 언제나 옳아요🥰❣️ 오늘도 맛있게 잘 먹었습니다~~~😁💚,crawl
"☕️ 파나마 아무로마르 카밀리나 게이샤 내추럴 🍈🥐 쏠트 인 썸머 🧃여름에이드 라임+레몬 나들이 후 쏠트바에서 힐링시간을 가져봅니다~ 날씨가 좋아서 시원한 여름 에이드가 상큼하니 정말 맛있었어요! 필터커피는 따뜻하게 먹고싶어서 핫으로 주문했는데, 향긋한 커피와 함께하는 쏠트 인 썸머는 언제나 최고입니다~👍😊 오늘도 맛있게 잘 먹었습니다~~~❣️🥰",crawl
"오늘은 쏠트바 1주년~~~~~!!! 맛있는 필터커피와 신메뉴 티라미수 케이크를 함께 먹어보았습니다🍮 ☕️ 필터커피: 파나마 가리도 게이샤 내추럴 🍮 신제품 ❣️티라미수 케이크❣️ ☕️🥛 카페라떼(디카페인) 쏠트바에서만 만날 수 있는 향긋한 커피와 해찬사장님의 원두가 들어간 티라미수 케이크의 조합은 그야말로 환상적이었어요😆👍 (이렇게 부드럽고 맛난 티라미수 케이크는 처음이에요🤎) 쏠트바 1주년 진심으로 축하드리고, 앞으로도 맛난 커피와 베이커리 많이많이 먹으러 올게요~^^🎉❤️🥰",crawl
기가막히는 고구마케익 나온 소식을듣고 이거 먹으려고 부산에 여행계획을 세웠습니다. 미친 맛 세상에서 가장 맛있는 고구마케익입니다,crawl
"☕️ 카페라떼(ICE) 🧃 가을에이드(망고&패션후르츠) 🥐 이거 부드러울듯 시원한 마실것이 땡기던 날~ 쏠트바에서 카페라떼와 가을에이드를 주문했어요. 라떼 폼이 천장을 뚫어서 정말 정말 맛있답니다!! 계속계속 마시게 되네요ㅎㅎ 가을에이드도 상큼톡톡한 맛과 과육이 탱글하게 씹히는 것이 매력적이에요^^ 함께 먹은 빵은 이거 부드러울듯❣️ 이름 그대로 정말 부드러운 빵 속에 달콤한 딸기잼이 반겨준답니다😆 더워지는 날씨에 시원한 것이 당기는데, 쏠트바 덕분에 늘 맛있는 커피와 음료를 먹을 수 있어서 정말 좋아요😄 오늘도 정말 맛있게 먹고 갑니다~~^_^",crawl
친구들과 오랜만에^^ 점심 배부르게 먹고 커피와 디저트 먹으러 고고. 고구마케익이랑 아이스크림 품은 소금빵. 정말 이 조합은 꿀조합. 케익 종류가 많아져서 넘 좋아요. 나의 디저트 맛집.,crawl
🍈🥐쏠트 인 썸머 - 메론크림 소금빵 ☕️콜롬비아 리치피치 - 필터커피(HOT) ☕️🥛카페라떼 (디카페인/HOT) 토요일 업무를 마치고 쏠트바에서 힐링했어요~😄 상큼달콤 메론크림 가득한 쏠트 인 썸머 & 푸르츠한 리치피치와의 환상적인 조합은 언제 먹어도 맛있어요👍 쏠트바 황금비율 카페라떼도 일품! 취향에 따라 디카페인 선택도 가능하답니다^^ 부산대 카페를 찾으신다면 쏠트바 한 번 들러보세요~🥰,crawl
"우연히 찾아서 들어간 곳인데 대만족입니다! 넛츠크림라떼 너무 맛있어요~! 각 테이블에 놓여진 메뉴판이랑 종이랑 펜 너무 귀엽고, 매장도 화장실도 깔끔해서 좋았습니다 딸기잼+카스테라 소금빵도 특별했습니당",crawl
☕️필터커피-과테말라 🤎찰리케이크 🍵캐모마일 오늘도 한 주를 마치고 쏠트바에서 행복한 시간을 보냈습니다😆 깊은 초콜릿 맛의 찰리케이크와 과테말라의 조합은 환상적이었어요! 부산대 최고 필터커피 맛집 쏠트바 꼭 들러보세요~^^,crawl
"부산대 근처에 오면 꼭 들리는 카페인데, 이번엔 신메뉴가 나왔다고 해서 다녀왔어요. 초코바나나는 바나나가듬뿍 들어있고, 달콤한 초코와 부드러운 크림이 잘 어울렸어요. 위에 올라간 캐러멜 바나나 토핑도 맛있었어요☺️ 카페 분위기도 여전히 조용하고 깔끔해서 편하게 쉬다 왔습니다. 신메뉴가 기대 이상이라 다음에도 또 찾게 될 것 같아요^^",crawl
"요즘 쏠트바 소금빵이 괜히 인기 있는 게 아니더라고요 ~~~ 겉은 바삭하고 속은 촉촉한데, 고소한 버터 향이 진하게 퍼져서 첫입부터 반했어요 😊 진한 아메리카노랑 같이 먹으니 조합이 너무 좋았어요 ~~ ❤️ 카페 분위기도 조용하고 아늑해서 혼자 가도 좋지만 , 다음엔 친구랑 같이 와서 따뜻하고 여유로운 시간 보내고 싶어지는 곳이에요 ☕️💛 ~~",crawl
여기 커피도 맛있고 빵도 맛있어요^^ 쏠트크림라떼 꼬오옥 드셔보세요👍🏻 빵 종류가 많아서 고민이실텐데 다 맛있어요 ㅎㅎ 하나를 딱!! 고를수가 없네요🫣 또 방문할게요🫶🏻,crawl
소금빵으로 만든 맛있는 디저트가 많아요. 커피도 맛있고 분위기도 좋네요.,crawl
분위기도 너무 좋고 아메리카노가 너무 맛있어요! 산미없이 완전 고소해서 빵에 잘 어울렸습니당 앙버터 소금빵도 팥이 넉넉하게 들어가있어서 맛있었어요,crawl
앙버터소금빵 기대 크게 안했는데 넘 맛있었고! 인테리어도 예뻤고 카페에 사람 많았지만 너무 좋았던 ♥️ .. 부대 앞 예카 귀하다 🤍,crawl
"☕️ 필터커피-파파요 네추럴 🧃 봄 에이드 🥐 쏠트 인 썸머 먹을 때 마다 감탄하는 맛있는 메론 소금빵, 쏠트 인 썸머🍈 향긋한 쏠트바의 필터커피와 함께하면 이보다 좋을 수 없네요^^ 쏠트바 수제청으로 만드는 봄 에이드도 달콤상큼 정말 맛있게 마셨습니다🥰👍",crawl
"🥐 자꾸 생각나는 카페, 쏠트바 후기 💛 쏠트바는 진짜 제가 애정하는 빵집이에요! 갈 때마다 신메뉴도 있고, 늘 퀄리티 최고✨ 오늘은 익숙한 메뉴랑 처음 보는 것도 섞어서 다양하게 골라봤어요! 🧺 오늘 산 메뉴 • 밤식이 • 둘세쿠키 • 오트밀쿠키 • 모카 소금빵 • 이거 부드러울 듯! • 초코 소금빵 • 플레인 소금빵 🥯 하나씩 먹어본 후기 • 밤식이: 이름처럼 든든한 빵이에요! 안에 밤이 들어 있어서 짭짤하고 식사 대용으로 딱~ 너무 달콤하고 맛있어요! 쏠트바는 갈 때마자 후회없는 선택이에요.가격도 착하고 무엇보다 빵이 다들 정성 가득해서 먹는 내내 기분이 좋아져요. 다음에는 신메뉴 도전",crawl
"늦게갔더니 남은빵이 거의없었다는..또르륵😢 여기소금빵먹고는 다른데서 못먹어요! 커피도맛있고~사장님 너무친절하시고! 요즘 이런곳찾기쉽지않은데, 너무잘먹고갑니당ㅋㅋ 야무지게 포장성공!!",crawl
지나갈때마다 와보고 싶었는데 드디어 와보네요! 분위기도 너무 좋고 대화하기 좋은 음악과 분위기에 맛있는 커피와 소금빵을 먹을 수 있어서 너무 좋아용ㅎㅎ 소금빵 여기 맛있네용,crawl
지나가면서 늘 가보고 싶었던 카페입니다~ 분위기도 넘 좋구 음식이랑 음료도 맛있습니다 다들 오세용,crawl
멜론크림소금빵이라니 어디서도 본적도없는 비주얼과 맛입니다. 방문할때마다 새로운메뉴가 생겨 기대를 잔뜩하고와도 절대 실패란 없습니다. 항상 기대를 넘는 맛입니다. 제 체지방은 쏠트바 소금빵으로 이루어져있습니다. 여름이라서 시원한 에이드도 땡겼었는데 오렌지 자몽에이드 더위가 싹가시는 맛입니다. 커피는 2잔을 혼자서 5분컷하는맛입니다. 즐길 틈도 없습니다. 주말에는 테이블이 붐벼 대기가 있을 수 있습니다. 사장님 들 꼭 건강하세요,crawl
소금빵맛집이라는 친구추천으로 방문. 일단 카페분위기 넘 아기자기 이쁨. 커피랑 소금빵 먹고 맛있어서 빵 종류별로 포장해가서 가족들이랑 먹음. 감태명란 초코 모카 기본맛 다 맛도리. 지인들한테 소개할만곳으로 픽! 재방문예정,crawl
봄베 정말 제 스타일이요! 적당히 산미도 있고 향긋한 향도 좋았어요 점심먹고 바로 가서 소금빵은 못먹어서 너무 아쉬워요 ㅠ,crawl
❤️ 쏠트 인 썸머 ❤️ 쏠트 인 캐나다 ❤️ 카페라떼(디카페인) ❤️ 알레한드리아-필터커피 이번 주말도 쏠트바에서 맛있는 시간을 보냈습니다~ 쏠트 인 썸머의 메론크림은 진짜 정말 맛있어요^^ 쏱트 인 캐나다는 든든하고 담백한 에그베이컨치즈 샌드위치의 최고봉이에요👍 향긋한 필터커피도 일품! 라떼아토 넘 예쁘지요😄 오늘도 잘 먹었습니다~~~❤️❤️🥐,crawl
여기 소금빵이 진짜 미쳤어요 ㅠㅠㅠㅠ 진짜 존맛탱 너무 맛있어서 포장도 했어요 강추 !!!! 💖💖💖,crawl
서면 전포 다 소금빵 먹어봤지만 역시 쏠트바가 제일 겉바속촉 제일 맛있는거같아요 아메리카노도 쓰지않고 달달한게 너무 맛있어요! 친절하시고 분위기도 좋고 꼭 추천드려요!,crawl
쏠트바 신메뉴~~~~!! 먹어봤습니다~!!! 신메뉴 기념(?) 짧은 후기도 남겨봐요ㅎㅎ ❤️ 이거 부드러울듯! (NEW!!!) -사르륵 녹는 카스테라&빵 속에 달콤한 딸기잼이 일품! ❤️ 쏠트바-믹스 (NEW!!!) -쫀득한 쫀득쿠키를 품은 플레인 소금빵! 식감이 신기해요! ❤️ 콜롬비아 벨라 알레한드리아 (NEW!!!) -필터커피 뉴 라인업입니다~ 향이 너무 좋아요! ❤️ 아메리카노 (디카페인) -카페인을 피하시는 분들께 강력추천! 오늘도 잘 먹있습니다^^,crawl
가게도 넘 이쁘구 커피랑 디저트 다 맛있어용🤍 자주 애용할거 같습니당ㅎㅎ,crawl
오랜만에 엄마랑 즐기는 데이트라 엄마최애빵인 소금빵 맛집 검색해서 첫 방문 해봤어요! 고급진 분위기에서 먹는 음료랑 소금빵은 정말 최고입니다.. 🤤🤤,crawl
"완전히 소금빵 맛집이에요 ,, 넘 마싯습니다 정말 🤤",crawl
💚쏠트 인 썸머!! 메론메롱~💚 쏠트바에 또 등장한 역대급 신메뉴! 소금빵 속 가득가득한 메론크림이 정말 맛있어요! 지금껏 메론빵/메론크림 중에서 가장 맛있었습니다💚 한 번 먹으면 멈출 수 없는 쏠트 인 썸머 꼭 드셔보세요~^^🥐💚,crawl
오늘도 쏠트바 신메뉴와 함께~!! ❣️ 쏠트 인 캐나다 [NEW!!!] - 소금빵과 베이컨/에그/치즈의 3박자가 어우러지는 캐나다 본토에서 건너온 맛!!(같아요ㅎㅎ) ❣️ 쏠트바-오레오 [NEW!!!] - 쫀득쿠키 오레오 버젼이 플레인 소금빵 속에 쏙! 필터 커피와 함께 잘 어울려요! ❣️ 콜롬비아 리치피치 상큼함이 묻어나는 향긋한 필터커피에요! ❣️ 캐모마일 맛있는 허브티인데 환절기에 따뜻하게 먹으면 굿굿! 어제 오늘 이틀간 맛있게 신메뉴 클리어 했습니다~~^^,crawl
소금빵을 좋아해서 소금빵이 유명한 쏠트바에 왔어요. 너무 맛있어서 사진을 찍을 생각을 못해서 가게 사진으로ㅋㅋㅋ기본 소금빵은 당연히 맛있구요. 쏠트인썸머는 메론크림이 너무 맛있어서 감탄하면서 먹었어요. 소금빵러버는 꼭 들어보세요,crawl
빵이 너무너무 제가 먹어봌 소금빵 중 제일 마싯었어요 ㅎㅎ,crawl
집에서 포장해서 먹다보니 사진도 못찍었네요 부산대 핫플~,crawl
❤️ 모카 소금빵 ❤️ 파나마 가리도 게이샤 내추럴 ❤️ 캐모마일 티 통통하니 귀여운 모카 소금빵! 다른 모카 번이나 모카 빵보다 훨씬 맛있는 것 같아요^^ 필터커피와도 정말 잘 어울려서 함께 먹으면 맛이 두배로 더 맛있는 느낌입니다ㅎㅎ 항상 맛있게 먹고 갑니다~^^,crawl
너무 궁금했는데 분위기도 예쁘고 커피 맛있어용,crawl
쫀뜩소금빵🥐🥐 맨날오고싶어여,crawl
쏠트바 마지막 인절미소금빵을 먹었던 날입니다~🤣😭 쏠트바의 맛있는 필터커피와 함께 소금 빵 속 인절미+콩가루+연유 조합이 쫀득고소달콤 별미였던 인절미가 그리울 거에요❤️😂 아듀 인절미 소금빵~~~🖐💫🥐,crawl
부산 여행하면서 맛있는 커피 먹고 싶어서 들렀는데 넛츠크림라떼 너무 맛있네요😍 소금빵도 종류별로 있어서 취향대로 골라먹기 좋아요~ 전 카스테라소금빵 추천합니다. 맛있는 카페를 가고싶은 분 꼭 와보세요👍👍 다음에 놀러오면 또 오려구요❤️,crawl
"바닐라 라떼 진짜 진짜아아아 맛있어요ㅋㅋㅋㄱ 빵도 퀄리티 너무 좋고 분위기도 아늑하고, 소품이랑 주문방식도 귀여워서 사장님이 얼마나 신경쓰시는지 알것 같아요ㅋㅋㅋ 넘 맛있게 잘먹었습니다❤️",crawl
맛있게 잘 먹었습니다 분위기 좋아요 ㅎㅎ,crawl
❤️ 소금빵 샌드위치 ❤️ 콜롬비아 카사 네그라 파파요 내추럴 (NEW!) ❤️ 캐모마일 부산대 최고의 소금빵 샌드위치와 함께 (브)런치를 즐겼습니다. 필터 커피 신메뉴 콜롬비아 카사 네그라 파파요 내츄럴도 추천드립니다! 오늘도 정말 맛있게 먹었습니다~~🥰🥰🥰,crawl
"쏠트 인 썸머 & 아아메 💚🤎 소금빵 안에 메론 크림 폭탄이 !!! 메론 크림은 느끼한 맛 없이 달달하고 소금빵은 부들부들 쫀득했습니다 ! 이거 완전 신세계네용 ㅎㅎ + 화장실도 카페 내부에 있고, 깔끔하게 잘 관리되고 있어서 좋았습니당 🌝👍",crawl
우연히발견한 카페인데 분위기도좋고 소금빵가득 음료도너무맛나용❤️단골예정이요🥰,crawl
여름에 아이스크림들어간 소금빵 넘 맛있어요 신메뉴로 나온 고구마케잌 넘 맛있네요 소금빵이 시그니처인데 저는 케잌류가 더 맛있는거같애요,crawl
"쏠트바에서 소금빵이랑 드립백 사봤는데, 진짜 대만족이에요😊 플레인 소금빵은 담백하고 쫄깃해서 계속 손이 가고, 모카 소금빵은 커피향에 달달함까지 더해져서 진짜 취향 저격이예요!!🙌 초코 소금빵은 묵직한 초콜릿 맛에 살짝 짭짤해서 너무 맛있었고요. 드립백은 향이 깊고 깔끔해서 빵이랑 같이 먹기 딱 좋았어요👍 포장도 깔끔하게 되어 있어서 선물용으로도 괜찮을 것 같더라고요🙌 전반적으로 퀄리티가 좋아서 다음에도 꼭 재주문할 예정입니다!",crawl
분위기도 좋고 커피도 맛있고 소금빵도 맛있어요 언니와 데이뚜 중 발견한 카페♡♡,crawl
직접 로스팅하신 원두로 내려주셔서 더 맛있네요~ 메론크림 가득들어있는 빵도 커피랑 잘어울려서 좋았습니다!,crawl
여기 소금빵 맛집이에요^^ 전 먹을만큼 먹고 더 사서 냉동실에 두었다가 에어프라이어에 돌려 먹는데 그래도 맛있어요.. 맛있는 빵은 못참죠^^,crawl
이거 부드러울 듯....최애 빵⭐️ 커피도 너무 맛있고 포장 예약도 되서 좋아요!!,crawl
커피가 맛있고 사장님들이 친절하세요👍😉,crawl
카페 내부도 너무 예쁘고 음악도 좋습니다!! 소금빵 종류도 되게 다양해서 좋았습니다!🫶,crawl
"❤️에티오피아 시다마 벤사 하마쇼 GI 에너러빅 네쥬럴 ❤️밀크티(HOT) ❤️명란감태 소금빵 ❤️초코 소금빵 3700일 기념(?) 맛있는 커피와 소금빵을 먹으러 오늘도 쏠트바에 왔습니다~:) 쏠트바의 시그니쳐 명란감태소금빰은 언제 먹어도 정말 맛있고, 초코 소금빵도 찐 초코맛을 느낄 수 있어요^^ 필터커피의 종류도 다양해서 그날그날 기분에 따라 골라 마시는 재미가 있습니다ㅎㅎ 밀크티는 냉숙과정을 거쳐서 더 깊고 풍부한 맛이 일품! 친절하신 사장님들 덕분에 항상 좋은 시간 보내고 갑니다^^",crawl
발렌타인 데이는 쏠트바에서~🤎 (초코소금빵 진짜 맛집! 오늘은 포장해서 사진이 없네요ㅠㅎ) 오늘도 향긋한 커피향이 가득한 아늑한 공간에서 힐링하고 갑니다^^ 맛있는 소금빵도 많이 있으니 꼭 드셔보세요~!,crawl
