text,source
"아침에 혼자 들렀는데 조용한 분위기에서 여유롭게 머물 수 있었다. 에그타르트는 바삭하면서도 속은 부드러워 아침에 가볍게 즐기기 좋았고, ALBA 아포카토는 진한 커피와 달콤한 아이스크림이 잘 어울려 기분 좋게 하루를 시작할 수 있었다. 음악과 공간이 아침의 차분한 공기와 잘 어울려 혼자 와도 편안했다.",crawl
"오랜만에 부산대 왔는데, 저번에 딸기로 유명했던 카페가 생각나서 바로 가봤어요💛 조용하고 아늑하고 디저트도 너무 맛있더라구요~~ 계단 밑에 시크릿 공간도 너무 예뻐서 사진찍기 좋고 아무곳이든 다 포토존인 카페네요👍 🍓딸기시즌에 와서 꼭 딸기 디저트 먹을께요🍓",crawl
에그타르트가 겉바속촉이라 정말 맛있었어요. 인테리어가 좋아 사진 찍기 딱 좋은 카페입니다. 디저트 퀄리티도 높고 자리도 넓어 편하게 즐기기 좋아요. 부산대 앞에서 분위기와 맛 모두 만족스러운 곳이라 추천합니다!,crawl
"발길이 이끄는 대로 들어왔는데, 보석 같은 공간을 만났어요. 우드톤의 따뜻한 인테리어와 곳곳의 플랜테리어가 어우러져 마음이 편안해지는 곳이네요. 조용히 흐르는 음악마저 완벽해서, 잠시 쉬어가기에 더할 나위 없이 좋았어요. 주문한 것들도 색감부터 영롱해서 한참을 바라봤어요. 🍊 인위적이지 않고 상큼한 맛이 일품이었습니다. 예쁜 잔에 담아주시니 대접받는 기분도 들고요. 눈으로 한 번, 맛으로 또 한 번 행복해지는 시간이었습니다.",crawl
인테리어가 멋있고 매장이 생각보다 넓어요..! 조용하고 아늑해서 더운 여름날 기분 좋게 머물다 가기 좋은 곳이었습니다😽커피도 맛있었어요!,crawl
특별한 음료와 함께 바삭한 로투스와 버터향이 풍부한 크로플까지 정말 맛있었어요! 음료에 바닐라 아이스크림이 부드럽고 향긋한데 얼그레이랑 잘 어울리더라구요~ 실내가 복층이고 실내가 정말 쾌적하고 에어컨이 빵빵합니당 ㅎㅎ 시원해서 힐링했어요 플리도 잔잔하구요! 주문은 테이블마다 작은 키오스크가 있어서 편했어요~ 또 올거예요~🤗,crawl
부산대 근처 타르트 맛집!! 밤 에그타르트… 너무 맛나~ 크로플도 맛있엇지만 밤 에그타르트는 꼭드셔보세요~,crawl
"오픈 때부터 지금까지 쭉 다니고 있는 인생 카페예요. 사장님이랑도 너무 친해져서 갈 때마다 반갑게 맞아주시고, 서비스도 늘 정성스럽게 챙겨주셔서 올 때마다 기분이 좋아져요. 분위기, 인테리어, 음악까지 전부 제 취향이라 자주 가게 돼요. 커피도 맛있고 디저트도 매번 만족스러워요. 단골이 될 수밖에 없는 소중한 공간이에요!!!",crawl
"카페 검색하다가 오게된 곳인데, 외관도 외관인데 안에 인테리어가 생각보다 너무 이쁘더라구요!!! 메뉴 오더도 태블릿으로 간편하게 할 수 있어서 너무 좋았어요 ㅎㅎㅎ 말차라떼랑 블랙라떼도 넘 맛잇었어용 !! 다음엠 에그타르트 먹어볼께용💕💕",crawl
우연히 골목에서 발견한 곳인데 카페 분위기가 미쳤네요.. 제 마음속 부산대 대표 느좋 카페 등극이에요! 좌석도 넓고 다양해서 어디 앉을지 고민 될 정도였어요ㅎㅎ 디저트도 음식도 음료도 다양하고 음료가 다 맛있었어요☺️ 잘 즐기고 갑니다 재방문 의사 100%입니당 다음에 또 올게요,crawl
2차 후식으로 어디갈까 지나가다가 보니 화이트한 좋은 느낌이 나서 바로 들어갔습니다. 날씨도 시원한 선선한 날씨라서 밖에서 먹었는데 앉기 좋은 편안한 의자라서 편한히 있기 좋네요~ 다음 모임할때도 여기로 올거 같습니다~,crawl
