text,source
"10년 넘게 즐겁게 방문하는 곳입니다. 사장님께서 늘 친절하게 손님을 맞이해주십니다. 자주 가는 것도 아닌데 항상 저를 알아봐주심에 늘 감동입니다. 장전동에서 가장 맛있고 번창하는 가게가 아닌가 싶습니다. 오늘도 정말 잘 먹었습니다. 알통닭강정 장전점을 방문하고 나면 항상 행복하며, 단순 닭강정이 아닌 그 이상의 값을 얻어가는 기분입니다. 늘 번창하세요♥️",crawl
사장님 너어무 친절하시고..🥺 닭에서 냄새도 안나고 양념도 딱 달다구리 맛있어요! 주문하고 5분 안걸리게 받은 거 같아요~ 친절하신 사장님 덕분에 더 맛있는 거 같네요 번창하세요 ㅎㅎㅎ,crawl
맛있습니다 친절합니다,crawl
사장님도 친절하시고 닭강정이 바삭하고 맛잇어요,crawl
11:15부터 영업하십니다~,crawl
맛있게먹느라 사진깜빡 ㅠ,crawl
굿,crawl
오랫만에 매콤 알통 통닭 먹엇네요. 맛나요.,crawl
사장님 친절해용 닭강정 원탑👍👍👍,crawl
너무맛있습니다 자주 올께요~~^^,crawl
굿,crawl
포장해서 잘 먹었읍니다 아주 맛있게 질 먹었읍니다 또 가겠읍니다,crawl
닭강정이 땡기는 날은 어김없이 이곳으로 갑니다. 부담스럽지 않은 가격에 맛난 강정은 강추입니다,crawl
식어도 맛있어요 체인이래도 맛이 다름,crawl
맛나요,crawl
굿,crawl
굿,crawl
닭강정 맛잇어요 사장님 친절해요,crawl
좋아요,crawl
사장님 늘 친절하시고 맛있게 해주시네요 ㅎㅎ,crawl
양념맛이 취향은 아니었지만 가성비 좋은곳이에요,crawl
둘이서8000,crawl
닭강정 중 가장 좋아하는 닭강정집입니다.,crawl
솔직히 고기는 얼마없고 껍질튀김인줄 맛은 라면스프 넣었는지 조미료맛이 넘나고 리뷰가 좋길래 큰박스2개구입했는데 괜히 삿다싶을정도임. 이런 리뷰잘안쓰는데… 돈아까움,crawl
맛있어요,crawl
맛있어요,crawl
오랜만에 먹어도 여전히맛있어요ㅋㅋ,crawl
좋아요,crawl
가격도 많이 올랐는데 양이 갈수록 적어지네요,crawl
화이트어니언닭강정 맛있어요🤍,crawl
구,crawl
가장 좋아하는 닭강정 가게에요! 바삭바삭하고 양념도 맛있어요,crawl
굳,crawl
맛있어용!! 친절하시구,crawl
굿,crawl
친절해요,crawl
2맛있어요.진짜,crawl
간식으로 좋아요,crawl
양이 좀 적어요ㅠ,crawl
집근처 잏지만일부러 장전까지가서 사오는데 조금 매콤하거해달랬는데 보통맛으로 해주시네요,crawl
갈수록 특이점이 안보이네요 양도 그닥 모르겠녀요,crawl
와우 진짜 맛있네요(っ˘ڡ˘ς),crawl
떡 닭강정 정말 맛있어요,crawl
오래있어줘서 고마워요!! 사장님도 넘 친절하고 좋으세요^^,crawl
요즘 부대찌게도 팔아서 조아요,crawl
ㅣ,crawl
맛있어요~~~~~~,crawl
혼자서라는 메뉴가 있어서 혼자 먹기 부담없ㅇㅓ요 근데 중간맛도 저는 매웟어용 ㅎㅎ,crawl
빠삭하니 맛있어요~~,crawl
친절해요,crawl
너무 맛있어서 자주 먹어요,crawl
맛있어요,crawl
종류도 많고 맛있어요.,crawl
3가지맛 다양하게 맛있네요,crawl
굿,crawl
추천합니다.,crawl
맛나요,crawl
넘 달아요. 양도 작아진듯.,crawl
정말 맛있습니다!!!,crawl
닭강정 맛집 먹어본 어떤 닭강정보다 맛있어요 중간맛 강추!! 튀김상태며 소스며 완벽,crawl
싸고 맛있는 떡강정!,crawl
개인적으로 먹어본 닭강정 중에 제일 맛있고 퀄리티 높은 알통떡강정❤ 혼자서 중간맛으로 시켜서 맥주랑 같이 하루를 마무리하면 너무 행복.. 식사 대용으로도 넉넉하니 배부르고 맛도 좋으니 안 먹을 이유가 없다ㅠ 갓 나온 걸 바로 먹으면 떡은 을매나 쫄깃하고 닭은 을매나 겉바속촉 맛있게여?! 그리고 치킨도 맛있고 양 많으니 다들 알통떡강정하세요,crawl
좋아요,crawl
좋아요,crawl
알통 넘나 맛도링,crawl
싸고 맛있음,crawl
포장주문 전화로 말씀드렸는데 시간에 맞게 바로 받을 수 있었어요,crawl
싸고 맛있음,crawl
