text,source
"눈에 잘 띄는 위치도 아닌데, 리뷰가 너무 좋길래 의심 반 호기심 반 방문해봤어요. 근데 웬걸..들어와보니까 일단 매장이 생각보다 넓더라구요! 매장 관리가 너무 잘 되어있었고, 각종 다과도 준비되어 있는 셀프바가 있다는 거에 놀랐습니다.. 사장님께서 너무너무 상냥하시고 계속 웃어주셔서 저까지 기분이 좋았었어요 ㅠ 그리고 대망의 메뉴! 아 광고 절대 아니였더라구요 ㅋㅋㅋㅠㅠ 넘넘 맛있었고, 양식 이렇게 배부르게 먹어본 건 처음이었어요🥺 부산대생 2+1 이벤트까지 참여해서 가성비까지 최고였답니당 ㅎㅎ 글구 가게에 사장님 따님 분?도 같이 있었는데, 너무너무 귀엽고 또 귀여웠어요 ㅠㅠ 🐰 정리하자면 분위기도 너어무 좋고, 사장님도 완전 친절하시고, 음식 맛도 최고.. 다들 꼭 와보세용!!",crawl
언제 가도 항상 친절한 서비스와 맛있는 음식으로 대접해주시는 애요스다이닝! 이번에는 스테이크 크림파스타랑 바질크림리조또 시켰어요! 에이드도 단순히 탄산만 많은 게 아니라 실제 과즙을 넣어주셔서 한번 드셔보는 걸 추천합니다! 넘 맛있어서 몇 번째 방문하는지 모르겠네요🤤,crawl
진짜 이 근처 양식집 탑3 안에 무조건 들어요 진짜 맛있고 부산대생이면 메뉴 3개 시키시면 1개 무료 이벤트 진행중이에요! 맛이 다 깊고 알차서 너무 좋아요🥺❤️ 남지친구도 입맛 까다로운 편인데 너무 맛있다고 잘 먹었아요 다음에도 또 방문하려구요! 사장님도 너무 친절하게 대해주시고 들어와서부터 나가는 그 순간까지 너무 친절하게 대해주십니다ㅠ 아 그리고 저희는 야채를 안 좋아해서 안 먹었지만 식전 샐러드도 제공해주세요! 정리 1. 맛있다 2.매우 친절하다 3. 메뉴2+1이벤트 중이다 4. 작성자 재방문 의사 100,crawl
"에브리타임에서 맛있다는 후기를 보고 처음 방문하였습니다. 후기처럼 맛있고 양도 넉넉했습니다. 부산대 재학생 이벤트도 하니, 재학생이시면 방문 추천 드립니다. 사장님도 너무 친절하시고 매장 인테리어도 좋아서 기분 좋게 데이트 했습니다. 감사합니다.",crawl
부산대학생은 서비스도 받을 수 있어요!! 다 맛있어요! 특히 바질 너무 맛있어요,crawl
모든 메뉴가 맛있었구 특히 필라프가 너무너무 맛나서 더 먹고싶더라구요 ㅎㅎㅎ애용할게요♡,crawl
맨날 지나가면서 가보고싶었는데 이번에 드디어 방문했어요! 음식도 맛있고 양도 많았어요 특히 크림파스타가 정말정말 맛있었어요 강추합니다 부산대앞에 파스타 먹을곳이 많이 없는데 파스타 생각날때 종종 올게될거같아요!! 사장님도 친절하시고 리뷰도 강요하시지 않아요 다른메뉴들도 궁금해요 잘먹었습니다!!😙😙,crawl
가성비 너무좋고 매콤크림이랑 바질 너무 맛있어요 사장님도 친절하세요.. 그리고 가게 인테리어도 너무 아늑하고 예뻐용 부산대 앞에 이런 양식집 있어서 너무 좋아요 오래오래 장사해주세요❤️❤️,crawl
"외관,인테리어가 너무 이뻐서 들어왔는데 사장님 넘 친절하세요! 식전샐러드도 주시고 부산대학생은 두개시키면 한메뉴 무료로 더주셔서 너무 푸짐하고 기분 좋은 식사였습니다! 부산대 양식집은 이제 여기만 올게요~",crawl
남자친구랑 주말 점심에 방문했는데 배부르고 맛있게 잘 먹고 왔습니다! 사장님도 넘 친절하세요 애요스 최고~,crawl
너무 맛있고 사장님 친절하셔서 좋아요 😻 부모님 모시고 다녀왔는데 좋아하셨어용,crawl
갈 때 마다 사장님 친절하시고 양도 많아요!! 분위기도 아늑하고 좋아요,crawl
"부산대 학생이면 메인메뉴 2+1 이벤트 참여할 수 있어서 2개 시키고 메뉴 3개 맛있게 먹고 왔어요! ㅎㅎ 사장님 너무 친절하시고 셀프바에 루이보스티, 홈런볼도 있어서 잘 먹고 왔습니다☺️ 사람들이 많이 모르시는 것 같아 좀 아쉬워요ㅠㅠ",crawl
정말 오랜만에 맛있게 잘 먹었습니다. 처음에 2명이라서 좁은 테이블에 앉았었는데 사장님의 친절한 권유로 넓은 테이블로 이동했습니다. 그후 식전에 나온 싱싱한 샐러드를 먹고 맛있게 조리된 음식을 먹었습니다. 김치 필라프가 다른 곳에서 판매되는 거와 다르게 이 가게 만의 독특하면서 맛있다라는 느낌을 받았고 알리오 올리오의 고기도 되게 부드럽고 맛있게 잘 먹었습니다!,crawl
맛있어요~~ 특히 알리올리오가 매콤하니 맛있어요 !!!!! 친절하세요 다음에도 방문할게요!!,crawl
처음 가봤는데 너무 맛있어요! 사장님이 너무 친절하셔서 기분이 좋았어요! 양도 많고 가성비도 좋아요. 매장도 넓고 깨끗하고 너무 좋습니다! 번창하세요!!,crawl
"부산대 자주오는데 새로운 파스타집이예요, 맛있게 잘 먹었습니다 🤍",crawl
오늘은 혼밥러 ㅜ 피클도 샐러드도 프레쉬~ 다 비워버림^^;; 맥주종류도 다양♡ 한잔하려 했지만.. 점심시간이라 아쉽 ㅜ 부산대파스타맛집 인정입니다 ㅎ,crawl
너무 맛있어서 또 방문했어요!! 여기는 각 메뉴마다 맵기조절 가능해서 좋아요💖 친구들이랑 방문했는데 가장 맛있었던 메뉴가 다 달랐을 정도로 다 평균이상의 맛을 냅니다!! 1인 1주문 해주셔야 되고 언제까지 할지는 모르지만 부대 재학생 2+1이벤트 중이(메뉴하나 무료🫢🤫🥹)꼭 한번 드셔보셨으면 좋겠어요🥰😍 사장님도 너무너무너무너무너무 친절하십니다!!! 매우매우 추천하구요ㅎㅎ 싹싹 비웠어요!!,crawl
맛있게 잘 먹었습니당ㅎㅎ,crawl
맛잇어용 매장도 되게 깨끗하고 사장님도 굉장히 친절하셨습니당 자주 방문할것 같아용 지금 부산대생은 매뉴 상관없이 2+1이니 꼭 가보셔요!!!! 다음에는 더 다양한 음식을 먹어보아야겠어용,crawl
와 진짜진짜 배부르게 먹었어요 부산대 앞에서 뭐 먹어야할까 맨날 고민하는데 파스타 먹고 싶으면 여기로 오면 될거같아여 ㅋㅋ 지금 부산대학생이면 이벤트도 하고 있어서 자주 올거같네여 ㅋㅋ,crawl
너무 맛있었어요!! 사장님이 너무 친절하시고 부산대생 2+1 이벤트도 너무 감사합니다~,crawl
"점심시간에 방문했는데, 내부 디자인이 너무 이뻤습니다🥹🥰 학생을 위한 오픈 이벤트(?) 덕분에 배부르고 맛있게 먹었네요!!! 필라프랑 매콤크림파스타 추천드리고싶어요!! 직원분도 친절하시고 재방문 의사 있습니다🤩❤️❤️ 번창하세요!!!",crawl
이벤트도 진행해서 둘이 정말 가성비 좋고 맛있게 먹었어요💗🥹 무엇보다 사장님이 정말 친절하세요!! 한끼 분위기 있고 또 맛있게 먹고싶을 때 자주 올 것 같아요😽,crawl
빠네 맛있어요 근데 배터질거같아요,crawl
음식이 맛있고 코알라가 귀여워요,crawl
제가 가는 곳은 3군데 뿐입니다. 1. 이투스 2. 자취방 3. 애요스다이닝 부산대점,crawl
김치필랖 너무너무 맛있어욤,crawl
오랜만에 방문했는데 너무 맛있게 먹었어요😄 얼큰빠쉐해물은 처음먹었는데 먹는순간 생각보다 너무 맛잇어서 놀랫어요😱 해물도 많이 들어가잇고 담에가면 또 먹을듯... 다른메뉴도 말이필요없음!! 다 맛잇어요 오늘 아기도 같이 갔는데 아기의자가 있어서 편하게 잘 먹엇어요 갈때마다 사장님이 너무 친절하셔서 기분좋게 먹엇습니다😄 맛도 양도 질도 좋고 가성비도 좋은 일등파스타 맛잇게 잘 먹엇습니다!! 사장님 조만간에 또 먹으러 갈께요 번창하세요!!❣️❣️,crawl
나만알고싶은 집인데 점점 손님이 많아져요..,crawl
너무 맛있네요! 안 먹어본 메뉴로 시켜봤는데 맛있어용 부산대 할인도 있어서 진짜 좋아요,crawl
