text,source
"홈플러스 장보러 오는김에 친한동생이 추천해준 앵그리웍에서 맛난 저녁 먹고 왔어요~ 짜장면, 짬뽕, 레몬버터탕수육까지 주문한 메뉴가 모두 맛있었고 셋이서 배부르게 먹었답니다^^ 레몬버터탕수육은 꼭 주문해서 드셔보시길 추천드려요 👍🏻 레몬버터의 상큼함과 고소함이 탕수육과 아주 잘 어울리고 다른곳에선 먹을 수 없는 메뉴여서 필수입니다! 아이가 잘 먹었던 짜장면과 속이 풀리던 짬뽕도 맛있어요~",crawl
처음 왔는데 만족합니다! 레몬버터가 들어간 탕수육 신기했는데 튀김은 바삭하고 소스는 버터가 들어가서그런지 담백하고 부드럽습니다! 넘 맛있어용 만두도 새우들어가서 부드럽고 맛있습니당 다음에 또 오려구요!,crawl
기대 없이 시킨 누룽지탕 뜨거운 돌솥에 부어주는 속재료들과 찹쌀누룽지의 조화. 누룽지가 완전 젹셔지기전 한그릇 충분히 젖은후 한그릇 만족스러운 안주이자 식사가 됨 홍유초수. 새우살가득한 만듀 딤섬생각나는 맛 재방문 해야지 차우면 궁금함,crawl
"대기 없이 바로 입장해서 편했고, 음식도 전반적으로 맛있었습니다. 볶음밥은 고슬고슬하고 짜장과 잘 어울렸고, 짬뽕 국물은 칼칼하고 시원했어요. 재료도 신선해서 만족스러운 식사였습니다. 직원분들도 친절해 데이트나 외식으로 추천할 만한 곳이에요.",crawl
온천장에 중국집 맛집이 생겼어요!! 지나가다 보고 궁금했는데 웬걸! 너무 맛있네요. 운좋게 웨이팅없이 들어왔는데 자리가 항상 꽉꽉 차있어요~ 탕슉 바삭하고 잡내없어요. 사천짜장 매운데 너무 맛있어요! 울면도 맛있고 만두도 맛있어요. 다음에 와서는 빙화만두도 있던데 먹어봐야겠어요. 전체 메뉴 도장깨기 들어갑니다. 이제 ㅁㅁㄹ 갈 필요없어요~,crawl
"짜장면이 정말 맛있는 중국집이었습니다. 면발이 쫄깃하고, 짜장 소스는 꽤나 매콤했지만 중독적인 맛이에요 양도 푸짐해서 가성비가 좋았고, 반찬도 정갈하게 나와서 만족스러웠습니다. 다음엔 다른 메뉴도 꼭 먹어보고 싶어요.",crawl
"레몬버터탕수육은 상큼하고 고소한 풍미가 조화를 이루며 바삭한 식감까지 완벽했어요. 짬뽕밥은 불향 가득한 국물과 해물 토핑이 푸짐해서 밥과 함께 먹기 딱 좋았고, 홍유초수는 깔끔하고 매콤한 맛으로 마무리를 완성해줬어요. 재방문의사 10000프로",crawl
집 앞에 생기고 나서 꼭 가야지 가야지 하다가 오늘 짬뽕이 너무 먹고싶어서 방문했어요! 요새 해물 짬뽕 가격이 좀 올랐는데 앵그리웍은 착한 가격에 맛도 있다 해서 바로 방문했습니다😊 앵그리버드? 어뮥? 있어서 너무 귀여웠어요 ㅋㅋㅋ 다음에는 친구들이랑 같이 와서 먹고싶아요✨👍🏻 다양한 이벤트도 많이 하니 다들 방문해보셨으면 좋겠습니딩 다음엔 짜장면 먹으러 와야징..,crawl
흔한 짬뽕 짜장면 탕수육 같은 일반적인 중국집 음식도 있지만 볶는 종류의 정통? 중식 음식도 종류가 아주 많아요. 아이들이랑 낮에 와서 술을 마실 수는 없지만 바이주와 같이 먹기에도 좋을 것 같아요. 그리고 맛도 있지만 그릇이 화려한 사기 그릇이라 좋네요ㅎㅎ 다음에는 요리류를 시켜서 안주삼아 먹고 싶어요!,crawl
동파육 차우면 홍유초수 다 맛있어요 3가지 메뉴 다 추천해요 다른 메뉴도 먹어 보고 싶은 맛입니다 나오는 영웅본색 음악도 추억 돋네요,crawl
