text,source
회전스시 세계의 지상 최강자. ㅁㅊ 어떻게 쥬토로를?! 맛도 좋고 가격도 적당하고 다 좋은데!!! 먹기가 힘듭니다. 2시간 웨이팅하실 수 있으시면 고고~,crawl
맛있는 초밥을 먹고싶을 때 찾아오는 곳이에요! 웨이팅이 길어서 미리 대기 걸어놓고 근처에서 기다리다 시간 맞춰 왔어요 ㅎㅎ 6시에서 6시 반 즈음에는 보통 10-15팀 정도 있는 것 같더라구요! 예약이 안되니 미리 대기 걸어놓으시거나 조금 일찍 찾아가시는 걸 추천드려요 ㅎㅎ 초밥이 전체적으로 질이 좋고 살이 부드러워 먹기 좋아요! 금액대에 비해 전체적으로 나쁘지 않은 퀄리티라 부담없이 먹기 좋은 것 같아요~ 근데 디저트는 조금 아쉬운 편인 것 같기도 합니다..ㅎㅎ 그래도 초밥집이 디저트보단 초밥이 맛있어야 하는 거 아니겠어요..^^ 맛있는 초밥과 친절하신 서비스 덕에 항상 잘 먹고 갑니다~,crawl
"웨이팅 2시간 넘게하고 들어간 곳 🥹 이용하실 분들은 시간 넉넉하게 잡고 미리 “캐치테이블” 앱으로 대기 걸어두세욥... 가게 마주보는 기준으로 왼쪽편에 대기할 수 있는 공간있어서 시원하게 대기 가능했어욥! 공용주차장에 주차하시면 주차비 현금으로 지원해주셔써요(지정 주차장 확인 필수) 재료도 신선하고 먹고싶은거 바로바로 만들어주셔서 더 좋았습니당 :) 접시는 빨간색, 검은색 뿐이지만 음식은 다양해요 다만 옆사람과 제법 붙어서 식사한건 나름 아숩,,😢 이용시간은 1시간 30분 제한 있어요! 앉아서 먹는데 웨이팅 모르고 오시는 분들이 넘 많았구 웨이팅이 넘 길어서 다들 그냥 가셨으니 꼭 꼭 웨이팅 걸어두고 방문하세효!",crawl
초밥이 신선하고 참 맛있네요. 종종 이용하는데 역시 문제는 대기줄이 너무길고 가게 내부좌석이 부족해서 안에서 먹을수가 없네요. 항상 포장을 하는데 역시 직접 가서 먹는것보다는 맛있을수는 없는것 같아서 아쉽습니다. 아기와 함께하기에도 내부가 많이 좁습니다. 다만 초밥맛은 좋아서 추천합니다!,crawl
대기해야하지만 가성비 좋아요,crawl
지나가다가 회전초밥 맛있어보여서 갔는데 괜찮네요!! 한 20분 웨이팅했구요. 맛나는 스시 많았어요!!🍣🍤🍣🦪고등어봉초밥인가 요거 맛있어요!! 계란찜도 괜찮아요 굿굿😋,crawl
유명하다고 해서 갔는데 많이 아쉽네요. 재방문 의사는 없습니다,crawl
요즘 스시맛집으로 유명한가게라서 몇번 웨이팅 하다가 오늘갔어요 고등어초밥 참치초밥등 맛있어요 좀 비싸긴해도 좋아요,crawl
평이 워낙 좋아 기대보단 살짝 아쉬웠지만 회전초밥집 중 괜찮은 편,crawl
방문 인원 5명 미리 캐치테이블로 예약했음 현장에서 이야기하고 대기실에서 기다렸는데 인원 문제인지 계속 대기함 그래서 물어보니 5인이라 인원이 많아 앞에 대기 인원 먼저 보냈다고 함;; 보통 앞에 순번 대기자한테 양해 후 보내는게 상식 아닌가요 ? 뭐하라 그럼 캐치테이블 써서 예약한지 모르겠네요,crawl
음식이 맛있고 직원들도 친절하고 다음에도 갈의향 천프로입니다 잘먹었습니다~~^^,crawl
맛있었어요! 일찍 예약했는데 제시간에 못갈것같이ㅜ서 미뤘는데 2시간넘게.기다렸네요ㅠ,crawl
친절하세요! 특히 카운터에 계신 직원분이 친절해서 다먹고 나갈때도 기분좋았어요,crawl
음..인스타에서보고갔는데 솔직히기대이하였고 제가간날만이상했는지 쌀자체를다른거를쓰는건지모르겠지만 밥이 엄청덜익은듯하고 밥색깔이누리끼리하니이상했어요 생선도 신선한지모르겠네요 그리고2명이서 얼마먹지도안았는데 한끼에6만원이넘어가는게 가성비가있는지도모르겠네요 웨이팅이왜있는지이해가안되네요,crawl
