name,address,lat,lon,preview,url,review_count,naver_score,keywords
코노지,부산 금정구 장전로12번길 18-4,35.22837842,129.08793760,,"https://map.naver.com/p/search/%EB%B6%80%EC%82%B0%EB%8C%80%20%EB%A7%9B%EC%A7%91/place/1908504121?c=15.00,0,0,0,dh&placePath=/home?entry=bmp&n_ad_group_type=10&n_query=%EB%B6%80%EC%82%B0%EB%8C%80%EB%A7%9B%EC%A7%91&from=map&fromPanelNum=2&timestamp=202508311559&locale=ko&svcName=map_pcv5&searchText=%EB%B6%80%EC%82%B0%EB%8C%80%20%EB%A7%9B%EC%A7%91",,,
홍보석 숯불구이,부산 금정구 금강로 256-7,35.23092608,129.08547466,,"https://map.naver.com/p/search/%EB%B6%80%EC%82%B0%EB%8C%80%20%EB%A7%9B%EC%A7%91/place/11666897?c=15.00,0,0,0,dh&placePath=/home?entry=bmp&n_ad_group_type=10&n_query=%EB%B6%80%EC%82%B0%EB%8C%80%EB%A7%9B%EC%A7%91&from=map&fromPanelNum=2&timestamp=202508311559&locale=ko&svcName=map_pcv5&searchText=%EB%B6%80%EC%82%B0%EB%8C%80%20%EB%A7%9B%EC%A7%91",,,
거창맷돌 본점,,,,,"https://map.naver.com/p/search/%EB%B6%80%EC%82%B0%EB%8C%80%20%EB%A7%9B%EC%A7%91/place/16902373?c=15.00,0,0,0,dh&placePath=/home?entry=bmp&from=map&fromPanelNum=2&timestamp=202508311559&locale=ko&svcName=map_pcv5&searchText=%EB%B6%80%EC%82%B0%EB%8C%80%20%EB%A7%9B%EC%A7%91",,,
부산대 포맨티코 본점,,,,,"https://map.naver.com/p/search/%EB%B6%80%EC%82%B0%EB%8C%80%20%EB%A7%9B%EC%A7%91/place/1420568443?c=15.00,0,0,0,dh&placePath=/home?entry=bmp&from=map&fromPanelNum=2&timestamp=202508311559&locale=ko&svcName=map_pcv5&searchText=%EB%B6%80%EC%82%B0%EB%8C%80%20%EB%A7%9B%EC%A7%91",,,
효원우곱,부산 금정구 부산대학로50번길 12,35.23183130,129.08617987,,"https://map.naver.com/p/search/%EB%B6%80%EC%82%B0%EB%8C%80%20%EB%A7%9B%EC%A7%91/place/1841098695?c=15.00,0,0,0,dh&placePath=/home?entry=bmp&from=map&fromPanelNum=2&timestamp=202508311559&locale=ko&svcName=map_pcv5&searchText=%EB%B6%80%EC%82%B0%EB%8C%80%20%EB%A7%9B%EC%A7%91",,,
만서리 이가네 막국수 본점,,,,,"https://map.naver.com/p/search/%EB%B6%80%EC%82%B0%EB%8C%80%20%EB%A7%9B%EC%A7%91/place/21710765?c=15.00,0,0,0,dh&placePath=/home?entry=bmp&from=map&fromPanelNum=2&timestamp=202508311559&locale=ko&svcName=map_pcv5&searchText=%EB%B6%80%EC%82%B0%EB%8C%80%20%EB%A7%9B%EC%A7%91",,,
부막숯불닭갈비 부산대점,부산 금정구 장전온천천로 81,35.23225949,129.08878283,,"https://map.naver.com/p/search/%EB%B6%80%EC%82%B0%EB%8C%80%20%EB%A7%9B%EC%A7%91/place/1003637302?c=15.00,0,0,0,dh&placePath=/home?entry=bmp&from=map&fromPanelNum=2&timestamp=202508311559&locale=ko&svcName=map_pcv5&searchText=%EB%B6%80%EC%82%B0%EB%8C%80%20%EB%A7%9B%EC%A7%91",,,
효원주가,부산 금정구 부산대학로50번길 16,35.23212635,129.08626211,,"https://map.naver.com/p/search/%EB%B6%80%EC%82%B0%EB%8C%80%20%EB%A7%9B%EC%A7%91/place/1630393521?c=15.00,0,0,0,dh&placePath=/home?entry=bmp&from=map&fromPanelNum=2&timestamp=202508311559&locale=ko&svcName=map_pcv5&searchText=%EB%B6%80%EC%82%B0%EB%8C%80%20%EB%A7%9B%EC%A7%91",,,
서빙고본점,부산 금정구 장전로12번길 9,35.22824853,129.08752682,,"https://map.naver.com/p/search/%EB%B6%80%EC%82%B0%EB%8C%80%20%EB%A7%9B%EC%A7%91/place/34665985?c=15.00,0,0,0,dh&placePath=/home?entry=bmp&from=map&fromPanelNum=2&timestamp=202508311559&locale=ko&svcName=map_pcv5&searchText=%EB%B6%80%EC%82%B0%EB%8C%80%20%EB%A7%9B%EC%A7%91",,,
이흥용과자점 부산대직영점,부산 금정구 부산대학로63번길 30,35.23028419,129.08392174,,"https://map.naver.com/p/search/%EB%B6%80%EC%82%B0%EB%8C%80%20%EB%A7%9B%EC%A7%91/place/1584126913?c=15.00,0,0,0,dh&placePath=/home?entry=bmp&from=map&fromPanelNum=2&timestamp=202508311559&locale=ko&svcName=map_pcv5&searchText=%EB%B6%80%EC%82%B0%EB%8C%80%20%EB%A7%9B%EC%A7%91",,,
보노베리 본점,,,,,"https://map.naver.com/p/search/%EB%B6%80%EC%82%B0%EB%8C%80%20%EB%A7%9B%EC%A7%91/place/722313262?c=15.00,0,0,0,dh&placePath=/home?entry=bmp&from=map&fromPanelNum=2&timestamp=202508311559&locale=ko&svcName=map_pcv5&searchText=%EB%B6%80%EC%82%B0%EB%8C%80%20%EB%A7%9B%EC%A7%91",,,
샤브20 부산금정점,부산 금정구 중앙대로 1718,35.23761990,129.09277559,,"https://map.naver.com/p/search/%EB%B6%80%EC%82%B0%EB%8C%80%20%EB%A7%9B%EC%A7%91/place/1774935884?c=15.00,0,0,0,dh&placePath=/home?entry=bmp&from=map&fromPanelNum=2&timestamp=202508311559&locale=ko&svcName=map_pcv5&searchText=%EB%B6%80%EC%82%B0%EB%8C%80%20%EB%A7%9B%EC%A7%91",,,
